TAZID,gdp_weight,volume_weight
1066,0.24859196450093052,0.12760788161345082
1068,0.24859196450093052,0.12760788161345082
1096,0.24859196450093052,0.12760788161345082
326,0.24859196450093052,0.12760788161345082
1085,0.24859196450093052,0.12760788161345082
1088,0.24859196450093052,0.12760788161345082
937,0.012321547213398303,0.033881196994455486
506,0.14820385533229408,0.10578980246556294
1098,0.14820385533229408,0.10578980246556294
316,0.24859196450093052,0.12760788161345082
501,0.14820385533229408,0.10578980246556294
1074,0.24859196450093052,0.12760788161345082
777,0.14678780664646435,0.09539039256307726
686,0.08934328965244728,0.10687823591900983
682,0.08934328965244728,0.10687823591900983
1026,0.14678780664646435,0.09539039256307726
783,0.14678780664646435,0.09539039256307726
795,0.14678780664646435,0.09539039256307726
943,0.012321547213398303,0.033881196994455486
881,0.035994859607553435,0.09674634630112619
771,0.14678780664646435,0.09539039256307726
891,0.035994859607553435,0.09674634630112619
224,0.16807283532582779,0.16995090755727157
1104,0.16807283532582779,0.16995090755727157
408,0.025027380161996897,0.054180269143758626
406,0.025027380161996897,0.054180269143758626
792,0.14678780664646435,0.09539039256307726
790,0.14678780664646435,0.09539039256307726
901,0.035994859607553435,0.09674634630112619
904,0.035994859607553435,0.09674634630112619
887,0.035994859607553435,0.09674634630112619
982,0.14678780664646435,0.09539039256307726
981,0.14678780664646435,0.09539039256307726
987,0.14678780664646435,0.09539039256307726
900,0.035994859607553435,0.09674634630112619
897,0.035994859607553435,0.09674634630112619
124,0.08143058013841464,0.1304263736884271
773,0.14678780664646435,0.09539039256307726
979,0.14678780664646435,0.09539039256307726
986,0.14678780664646435,0.09539039256307726
988,0.14678780664646435,0.09539039256307726
977,0.14678780664646435,0.09539039256307726
893,0.035994859607553435,0.09674634630112619
895,0.035994859607553435,0.09674634630112619
972,0.14678780664646435,0.09539039256307726
983,0.14678780664646435,0.09539039256307726
975,0.14678780664646435,0.09539039256307726
984,0.14678780664646435,0.09539039256307726
848,0.14678780664646435,0.09539039256307726
1049,0.14678780664646435,0.09539039256307726
1162,0.025027380161996897,0.054180269143758626
1149,0.025027380161996897,0.054180269143758626
1087,0.24859196450093052,0.12760788161345082
1090,0.24859196450093052,0.12760788161345082
307,0.24859196450093052,0.12760788161345082
1094,0.24859196450093052,0.12760788161345082
804,0.14678780664646435,0.09539039256307726
852,0.14678780664646435,0.09539039256307726
1043,0.14678780664646435,0.09539039256307726
844,0.14678780664646435,0.09539039256307726
849,0.14678780664646435,0.09539039256307726
858,0.14678780664646435,0.09539039256307726
855,0.14678780664646435,0.09539039256307726
989,0.14678780664646435,0.09539039256307726
1011,0.14678780664646435,0.09539039256307726
996,0.14678780664646435,0.09539039256307726
991,0.14678780664646435,0.09539039256307726
1076,0.24859196450093052,0.12760788161345082
1095,0.24859196450093052,0.12760788161345082
1009,0.14678780664646435,0.09539039256307726
998,0.14678780664646435,0.09539039256307726
347,0.24859196450093052,0.12760788161345082
832,0.14678780664646435,0.09539039256307726
1081,0.24859196450093052,0.12760788161345082
1082,0.24859196450093052,0.12760788161345082
1083,0.24859196450093052,0.12760788161345082
862,0.14678780664646435,0.09539039256307726
1000,0.14678780664646435,0.09539039256307726
851,0.14678780664646435,0.09539039256307726
842,0.14678780664646435,0.09539039256307726
1071,0.24859196450093052,0.12760788161345082
1159,0.025027380161996897,0.054180269143758626
805,0.14678780664646435,0.09539039256307726
781,0.14678780664646435,0.09539039256307726
332,0.24859196450093052,0.12760788161345082
